num indice_cubital angle_discoidal
1 1.9938719467222148 -2.67292976
2 2.3118054512532935 2.3791334
1 1.9582003612411316 -2.37769766
2 2.393425571039326 1.8552582
3 2.475825611803848 3.33550761
1 2.067790903135261 -1.50154854
2 2.0651164331225833 3.11884029
3 2.354589810993967 2.45745454
1 2.2615479671142666 -1.56514541
2 2.5686610913042225 1.0365283
4 2.5466211315814644 3.82616912
1 2.1182050072715315 -2.33670097
1 2.302419275866163 -1.58648275
1 2.24498053388084 -2.8266868
2 2.6837851446609324 1.58832009
6 2.1100970224481697 2.82606952
